OBJECTID,ADDRESSTBL,BIN,ST_NUMBER,STREET,TYPE,NAME,DESCRIP,MAX_HEIGHT,COMMENT,STATUS,CONDITION
34108,Y,133996816,224+,MONTE VISTA AVE, , , , , , , 
34109,Y,134016817,102,CAMELLIA DR, , , , , , , 
34110,Y,133786820,1607,MERIDIAN ST, , , , , , , 
34111,Y,133956824,908,ROUGEMONT AVE, , , , , , , 
34112,Y,133756825,919,ROUGEMONT AVE, , , , , , , 
34113,Y,133516828,104,TROOST CT, , , , , , , 
34114,Y,133986829,103,SHALE PL, , , , , , , 
34115,Y,134026830,100,LIDE PL, , , , , , , 
34116,Y,133886833,225,OLD LYNCHBURG RD, , , , , , , 
34117,Y,134096834,105,CAMELLIA DR, , , , , , , 
34118,Y,134076835,100,LEIGH PL, , , , , , , 
34119,Y,133966837,105,HILTON DR, , , , , , , 
34120,Y,134086840,910,ROUGEMONT AVE, , , , , , , 
34121,Y,134186844,227,MONTE VISTA AVE, , , , , , , 
34122,Y,134176846,2722,MCELROY DR, , , , , , , 
34123,Y,134216848,236+,OLD LYNCHBURG RD, , , , , , , 
34124,Y,134066849,112,HILTON DR, , , , , , , 
34125,Y,134196850,201,AZALEA DR, , , , , , , 
34126,Y,134036852,1001,ROUGEMONT AVE, , , , , , , 
34127,Y,134166853,105,SHALE PL, , , , , , , 
34128,Y,134276854,512,MOSELEY DR, , , , , , , 
34129,Y,134136855,517,MOSELEY DR, , , , , , , 
34130,Y,134206856,912,ROUGEMONT AVE, , , , , , , 
34131,Y,134126859,1609,MERIDIAN ST, , , , , , , 
34132,Y,134256861,107+,LONGWOOD DR, , , , , , , 
34133,Y,134246863,102,LEIGH PL, , , , , , , 
34134,Y,134326865,107,LEIGH PL, , , , , , , 
34135,Y,134346866,116,AZALEA DR, , , , , , , 
34136,Y,133606867,2745,MCELROY DR, , , , , , , 
34137,Y,134416868,229,MONTE VISTA AVE, , , , , , , 
34138,Y,134306871,1806+,EASTVIEW ST, , , , , , , 
34139,Y,133046872,508,HARRIS RD,SCHOOL,Jackson-Via Elementary, , , , , 
34140,Y,134116874,1661,MERIDIAN ST, , , , , , , 
34141,Y,134366875,107,SHALE PL, , , , , , , 
34142,Y,134236880,103+,KEYSTONE PL, , , , , , , 
34143,Y,134466881,238,OLD LYNCHBURG RD, , , , , , , 
34144,Y,134396882,914,ROUGEMONT AVE, , , , , , , 
34145,Y,134146885,227,OLD LYNCHBURG RD, , , , , , , 
34146,Y,134436886,1300,KNOLL ST, , , , , , , 
34147,Y,134426887,110,HILTON DR, , , , , , , 
34148,Y,134226888,519,MOSELEY DR, , , , , , , 
34149,Y,134556889,1306,KNOLL ST, , , , , , , 
34150,Y,134556890,1304,KNOLL ST, , , , , , , 
34151,Y,134336892,524+,HARRIS RD, , , , , , , 
34152,Y,134546894,107,CAMELLIA DR, , , , , , , 
34153,Y,134486895,104,CAMELLIA DR, , , , , , , 
34154,Y,134786896,1808+,EASTVIEW ST, , , , , , , 
34155,Y,134406898,108,TROOST CT, , , , , , , 
34156,Y,134576899,916,ROUGEMONT AVE, , , , , , , 
34157,Y,134316900,1005,ROUGEMONT AVE, , , , , , , 
34158,Y,134356901,1659,MERIDIAN ST, , , , , , , 
34159,Y,134586902,108,HILTON DR, , , , , , , 
34160,Y,134456903,100,SHALE PL, , , , , , , 
34161,Y,134476904,1611+,MERIDIAN ST, , , , , , , 
34162,Y,134806905,103,HILTON DR, , , , , , , 
34163,Y,134656906,1113,5TH ST SW, , , , , , , 
34164,Y,134686907,230,MONTE VISTA AVE, , , , , , , 
34165,Y,134766908,231,MONTE VISTA AVE, , , , , , , 
34166,Y,134746909,203,AZALEA DR, , , , , , , 
34167,Y,134676911,514,MOSELEY DR, , , , , , , 
34168,Y,134666912,1009,ROUGEMONT AVE, , , , , , , 
34169,Y,134726913,104,LEIGH PL, , , , , , , 
34170,Y,134696914,106,LEIGH PL, , , , , , , 
34171,Y,134526915,106,TROOST CT, , , , , , , 
34172,Y,134706916,109+,LONGWOOD DR, , , , , , , 
34173,Y,134386917,601,MOSELEY DR, , , , , , , 
34174,Y,134816918,2724,MCELROY DR, , , , , , , 
34175,Y,134596920,1000+,LINDEN AVE, , , , , , , 
34176,Y,134606921,104+,LONGWOOD DR, , , , , , , 
34177,Y,134876922,118,AZALEA DR, , , , , , , 
34178,Y,134376923,229,OLD LYNCHBURG RD, , , , , , , 
34179,Y,134566924,106,HILTON DR, , , , , , , 
34180,Y,134756926,102,SHALE PL, , , , , , , 
34181,Y,134776928,918,ROUGEMONT AVE, , , , , , , 
34182,Y,134886929,240,OLD LYNCHBURG RD, , , , , , , 
34183,Y,134796930,109,SHALE PL, , , , , , , 
34184,Y,134786933,1808,EASTVIEW ST, , , , , , , 
34185,Y,134616936,1657,MERIDIAN ST, , , , , , , 
34187,Y,134626938,603,MOSELEY DR, , , , , , , 
34188,Y,135036943,233,MONTE VISTA AVE, , , , , , , 
34189,Y,134896945,1613+,MERIDIAN ST, , , , , , , 
34190,Y,134856946,2743,MCELROY DR, , , , , , , 
34191,Y,135056947,232,MONTE VISTA AVE, , , , , , , 
34192,Y,134976948,2725,MCELROY DR, , , , , , , 
34193,Y,134966949,109,CAMELLIA DR, , , , , , , 
34194,Y,134986950,516,MOSELEY DR, , , , , , , 
34195,Y,134846952,1655,MERIDIAN ST, , , , , , , 
34197,Y,134946954,104,SHALE PL, , , , , , , 
34198,Y,135016957,111+,LONGWOOD DR, , , , , , , 
34199,Y,135166958,1810,EASTVIEW ST, , , , , , , 
34200,Y,135066959,101,HILTON DR, , , , , , , 
34201,Y,135216960,106+,LONGWOOD DR, , , , , , , 
34202,Y,135096961,205+,AZALEA DR, , , , , , , 
34203,Y,135106963,242+,OLD LYNCHBURG RD, , , , , , , 
34204,Y,135326964,1309,MOUNTAIN VIEW ST, , , , , , , 
34205,Y,133796968,104,KEYSTONE PL, , , , , , , 
34206,Y,135286969,1307,MOUNTAIN VIEW ST, , , , , , , 
34207,Y,135156970,1662,MERIDIAN ST, , , , , , , 
34208,Y,135006971,1000+,ROUGEMONT AVE, , , , , , , 
34209,Y,135136972,2726,MCELROY DR, , , , , , , 
34210,Y,135196973,2749,MCELROY DR, , , , , , , 
34211,Y,134916974,607,MOSELEY DR, , , , , , , 
34212,Y,132766975,1002+,LINDEN AVE, , , , , , , 
34213,Y,135256976,120,AZALEA DR, , , , , , , 
34214,Y,135146979,1311,MOUNTAIN VIEW ST, , , , , , , 
34215,Y,135076980,1653,MERIDIAN ST, , , , , , , 
34216,Y,135226983,1615+,MERIDIAN ST, , , , , , , 
34217,Y,135116984,100,HILTON DR, , , , , , , 
34218,Y,135246987,518,MOSELEY DR, , , , , , , 
34219,Y,135346990,244+,OLD LYNCHBURG RD, , , , , , , 
34220,Y,135366993,235,MONTE VISTA AVE, , , , , , , 
34221,Y,135446994,234,MONTE VISTA AVE, , , , , , , 
34222,Y,135276995,2741,MCELROY DR, , , , , , , 
34223,Y,135266996,106,SHALE PL, , , , , , , 
34224,Y,135376997,1660,MERIDIAN ST, , , , , , , 
34225,Y,135236998,1002+,ROUGEMONT AVE, , , , , , , 
34226,Y,135086999,609,MOSELEY DR, , , , , , , 
34227,Y,135407000,113+,LONGWOOD DR, , , , , , , 
34228,Y,135337002,108,SHALE PL, , , , , , , 
34229,Y,135437003,108+,LONGWOOD DR, , , , , , , 
34230,Y,135457004,111,CAMELLIA DR, , , , , , , 
34231,Y,135477005,534,MOSELEY DR, , , , , , , 
34232,Y,135487008,2727,MCELROY DR, , , , , , , 
34233,Y,135207010,611,MOSELEY DR, , , , , , , 
34234,Y,135187011,105,KEYSTONE PL, , , , , , , 
34235,Y,135497012,1004+,ROUGEMONT AVE, , , , , , , 
34236,Y,135557013,2751,MCELROY DR, , , , , , , 
34237,Y,135527014,207,AZALEA DR, , , , , , , 
34238,Y,135547015,1658,MERIDIAN ST, , , , , , , 
34239,Y,135467016,617,MOSELEY DR, , , , , , , 
34240,Y,135617018,122,AZALEA DR, , , , , , , 
34241,Y,135307019,612,HARRIS RD, , , , , , , 
34242,Y,135577020,1612,MERIDIAN ST, , , , , , , 
34243,Y,135387021,613,MOSELEY DR, , , , , , , 
34244,Y,135427022,1651,MERIDIAN ST, , , , , , , 
34245,Y,135517023,615,MOSELEY DR, , , , , , , 
34246,Y,135397024,1115,5TH ST SW, , , , , , , 
34247,Y,135697025,2728,MCELROY DR, , , , , , , 
34248,Y,135597026,200,CAMELLIA DR, , , , , , , 
34249,Y,135587027,246+,OLD LYNCHBURG RD, , , , , , , 
34250,Y,135677029,236,MONTE VISTA AVE, , , , , , , 
34251,Y,135747031,115+,LONGWOOD DR, , , , , , , 
34252,Y,135657032,110+,LONGWOOD DR, , , , , , , 
34253,Y,135687034,600,MOSELEY DR, , , , , , , 
34254,Y,135767037,248,OLD LYNCHBURG RD, , , , , , , 
34255,Y,135737038,201,CAMELLIA DR, , , , , , , 
34256,Y,135607040,2739,MCELROY DR, , , , , , , 
34257,Y,135817041,209,AZALEA DR, , , , , , , 
34258,Y,135317042,1708+,MONTICELLO RD, , , , , , , 
34259,Y,135667044,1646,MERIDIAN ST, , , , , , , 
34260,Y,135797045,602,MOSELEY DR, , , , , , , 
34261,Y,135787046,620,MOSELEY DR, , , , , , , 
34262,Y,135757051,239+,MONTE VISTA AVE, , , , , , , 
34263,Y,135837052,1614,MERIDIAN ST, , , , , , , 
34264,Y,135897053,124,AZALEA DR, , , , , , , 
34265,Y,135937054,238,MONTE VISTA AVE, , , , , , , 
34266,Y,135777055,2729,MCELROY DR, , , , , , , 
34267,Y,136017056,1131+,5TH ST SW, , , , , , , 
34268,Y,135877057,117+,LONGWOOD DR, , , , , , , 
34269,Y,135957058,2730,MCELROY DR, , , , , , , 
34270,Y,135887061,112+,LONGWOOD DR, , , , , , , 
34271,Y,135927062,618,MOSELEY DR, , , , , , , 
34272,Y,135907064,604,MOSELEY DR, , , , , , , 
34273,Y,136037065,202,CAMELLIA DR, , , , , , , 
34274,Y,135997066,250,OLD LYNCHBURG RD, , , , , , , 
34275,Y,135917067,1649+,MERIDIAN ST, , , , , , , 
34276,Y,136007069,241,MONTE VISTA AVE, , , , , , , 
34277,Y,135807070,1119+,5TH ST SW, , , , , , , 
34278,Y,136047074,616,MOSELEY DR, , , , , , , 
34279,Y,136057075,203,CAMELLIA DR, , , , , , , 
34280,Y,136067076,606,MOSELEY DR, , , , , , , 
34281,Y,136077079,2748,MCELROY DR, , , , , , , 
34282,Y,136147080,240,MONTE VISTA AVE, , , , , , , 
34283,Y,135967081,2737,MCELROY DR, , , , , , , 
34284,Y,136097082,211,AZALEA DR, , , , , , , 
34285,Y,136187084,1616,MERIDIAN ST, , , , , , , 
34286,Y,136117085,1647+,MERIDIAN ST, , , , , , , 
34287,Y,136167086,252+,OLD LYNCHBURG RD, , , , , , , 
34288,Y,136107087,119+,LONGWOOD DR, , , , , , , 
34289,Y,136217089,126,AZALEA DR, , , , , , , 
34290,Y,135947091,1644,MERIDIAN ST, , , , , , , 
34291,Y,136087093,2731,MCELROY DR, , , , , , , 
34292,Y,136157094,614,MOSELEY DR, , , , , , , 
34293,Y,136277098,2732,MCELROY DR, , , , , , , 
34294,Y,136287099,204,CAMELLIA DR, , , , , , , 
34295,Y,136177101,608,MOSELEY DR, , , , , , , 
34296,Y,136347103,242,MONTE VISTA AVE, , , , , , , 
34297,Y,136257104,612,MOSELEY DR, , , , , , , 
34298,Y,136207105,243,MONTE VISTA AVE, , , , , , , 
34299,Y,136297107,610,MOSELEY DR, , , , , , , 
34300,Y,136317108,2746,MCELROY DR, , , , , , , 
34301,Y,136337110,205,CAMELLIA DR, , , , , , , 
34302,Y,136357111,1645,MERIDIAN ST, , , , , , , 
34303,Y,136307112,2735,MCELROY DR, , , , , , , 
34304,Y,136437113,121+,LONGWOOD DR, , , , , , , 
34305,Y,136367114,213,AZALEA DR, , , , , , , 
34306,Y,136477118,1618,MERIDIAN ST, , , , , , , 
34307,Y,136197120,1642+,MERIDIAN ST, , , , , , , 
34308,Y,136447124,303+,MIDDLETON LN, , , , , , , 
34309,Y,136417125,2733,MCELROY DR, , , , , , , 
34310,Y,136397126,301,MIDDLETON LN, , , , , , , 
34311,Y,136507127,128,AZALEA DR, , , , , , , 
34312,Y,136557128,206,CAMELLIA DR, , , , , , , 
34313,Y,136547130,245,MONTE VISTA AVE, , , , , , , 
34314,Y,136597134,1643,MERIDIAN ST, , , , , , , 
34315,Y,136567135,123+,LONGWOOD DR, , , , , , , 
34316,Y,136467136,305,MIDDLETON LN, , , , , , , 
34317,Y,136647137,215,AZALEA DR, , , , , , , 
34318,Y,136487138,1640,MERIDIAN ST, , , , , , , 
34319,Y,136587139,118+,LONGWOOD DR, , , , , , , 
34320,Y,136617140,2744,MCELROY DR, , , , , , , 
34321,Y,136627142,207,CAMELLIA DR, , , , , , , 
34322,Y,136457143,1706,MONTICELLO RD, , , , , , , 
34323,Y,136667145,1620,MERIDIAN ST, , , , , , , 
34324,Y,136657146,247,MONTE VISTA AVE, , , , , , , 
34325,Y,136637149,246,MONTE VISTA AVE, , , , , , , 
34326,Y,136497150,7,MOBILE LN, , , , , , , 
34327,Y,136717152,208,CAMELLIA DR, , , , , , , 
34328,Y,136407154,103,SHASTA CT, , , , , , , 
34329,Y,136537156,9,MOBILE LN, , , , , , , 
34330,Y,136767157,1641,MERIDIAN ST, , , , , , , 
34331,Y,136677159,1638,MERIDIAN ST, , , , , , , 
34332,Y,136687161,2734,MCELROY DR, , , , , , , 
34333,Y,136727162,2742,MCELROY DR, , , , , , , 
34334,Y,136807164,217,AZALEA DR, , , , , , , 
34335,Y,136777165,301,OLD LYNCHBURG RD, , , , , , , 
34336,Y,136787166,249,MONTE VISTA AVE, , , , , , , 
34337,Y,136837167,1622,MERIDIAN ST, , , , , , , 
34338,Y,136527168,105,SHASTA CT, , , , , , , 
34339,Y,136867169,300,MONTE VISTA AVE, , , , , , , 
34340,Y,136817170,209,CAMELLIA DR, , , , , , , 
34341,Y,136607172,107,SHASTA CT, , , , , , , 
34342,Y,136847173,2740,MCELROY DR, , , , , , , 
34343,Y,136797174,200,AZALEA DR, , , , , , , 
34344,Y,136927175,1639,MERIDIAN ST, , , , , , , 
34345,Y,136027176,1146,5TH ST SW, , , , , , , 
34346,Y,136947177,300,MOBILE LN, , , , , , , 
34347,Y,136997178,122+,LONGWOOD DR, , , , , , , 
34348,Y,136907179,2738,MCELROY DR, , , , , , , 
34349,Y,136877181,125+,LONGWOOD DR, , , , , , , 
34350,Y,136917182,253,MONTE VISTA AVE, , , , , , , 
34351,Y,136987185,304,MOBILE LN, , , , , , , 
34352,Y,136937186,2736,MCELROY DR, , , , , , , 
34353,Y,137007188,219,AZALEA DR, , , , , , , 
34354,Y,137027189,302,MONTE VISTA AVE, , , , , , , 
34355,Y,136737191,109,SHASTA CT, , , , , , , 
34356,Y,136967192,1624,MERIDIAN ST, , , , , , , 
34357,Y,137017194,303+,OLD LYNCHBURG RD, , , , , , , 
34359,Y,137037196,1637+,MERIDIAN ST, , , , , , , 
34360,Y,137147197,124+,LONGWOOD DR, , , , , , , 
34361,Y,137097201,202,AZALEA DR, , , , , , , 
34362,Y,137077202,127+,LONGWOOD DR, , , , , , , 
34363,Y,137107203,212,CAMELLIA DR, , , , , , , 
34364,Y,137117204,11+,MOBILE LN, , , , , , , 
34365,Y,137187205,304,MONTE VISTA AVE, , , , , , , 
34366,Y,136887206,111,SHASTA CT, , , , , , , 
34367,Y,136957207,14,MOBILE LN, , , , , , , 
34368,Y,137157208,221,AZALEA DR, , , , , , , 
34369,Y,137207210,13,MOBILE LN, , , , , , , 
34370,Y,137197211,1635+,MERIDIAN ST, , , , , , , 
34371,Y,137177212,106,SHASTA CT, , , , , , , 
34372,Y,137127215,1623+,MERIDIAN ST, , , , , , , 
34373,Y,137167217,214,CAMELLIA DR, , , , , , , 
34374,Y,137267218,213,CAMELLIA DR, , , , , , , 
34375,Y,137217219,129+,LONGWOOD DR, , , , , , , 
34376,Y,137247221,301,MONTE VISTA AVE, , , , , , , 
34377,Y,137087222,113,SHASTA CT, , , , , , , 
34378,Y,137137223,16,MOBILE LN, , , , , , , 
34379,Y,137287224,204+,AZALEA DR, , , , , , , 
34380,Y,137277227,110,SHASTA CT, , , , , , , 
34381,Y,137317228,306,MONTE VISTA AVE, , , , , , , 
34382,Y,137367229,1633+,MERIDIAN ST, , , , , , , 
34383,Y,137307230,15,MOBILE LN, , , , , , , 
34384,Y,137357231,223,AZALEA DR, , , , , , , 
34385,Y,137477234,128+,LONGWOOD DR, , , , , , , 
34386,Y,137437235,1625+,MERIDIAN ST, , , , , , , 
34387,Y,137427238,216,CAMELLIA DR, , , , , , , 
34389,Y,137507240,303,MONTE VISTA AVE, , , , , , , 
34390,Y,137487241,215+,CAMELLIA DR, , , , , , , 
34391,Y,137637243,1155+,5TH ST SW, , , , , , , 
34392,Y,137497245,206,AZALEA DR, , , , , , , 
34393,Y,137527247,308,MONTE VISTA AVE, , , , , , , 
34394,Y,137547248,17,MOBILE LN, , , , , , , 
34395,Y,137337250,115,SHASTA CT, , , , , , , 
34396,Y,137537251,225,AZALEA DR, , , , , , , 
34397,Y,137327253,105,GARDEN DR, , , , , , , 
34398,Y,137717255,130+,LONGWOOD DR, , , , , , , 
34399,Y,137467256,408,MOBILE LN, , , , , , , 
34400,Y,137607257,112,SHASTA CT, , , , , , , 
34401,Y,137617258,218,CAMELLIA DR, , , , , , , 
34402,Y,137407259,107,GARDEN DR, , , , , , , 
34403,Y,137627260,1627,MERIDIAN ST, , , , , , , 
34404,Y,137567262,1631+,MERIDIAN ST, , , , , , , 
34405,Y,137707265,19,MOBILE LN, , , , , , , 
34406,Y,137697266,310,MONTE VISTA AVE, , , , , , , 
34407,Y,137777268,116,SHASTA CT, , , , , , , 
34408,Y,137557270,1150,5TH ST SW, , , , , , , 
34409,Y,137727271,412,MOBILE LN, , , , , , , 
34410,Y,137757272,227,AZALEA DR, , , , , , , 
34411,Y,137787273,300,CAMELLIA DR, , , , , , , 
34412,Y,137857275,411,MOBILE LN, , , , , , , 
34413,Y,137677276,420,MOBILE LN, , , , , , , 
34414,Y,137827277,114,SHASTA CT, , , , , , , 
34415,Y,137867278,307,MONTE VISTA AVE, , , , , , , 
34416,Y,137747279,1629,MERIDIAN ST, , , , , , , 
34417,Y,137817280,312,MONTE VISTA AVE, , , , , , , 
34418,Y,137597282,414,MOBILE LN, , , , , , , 
34419,Y,137887283,300,AZALEA DR, , , , , , , 
34420,Y,137657286,418,MOBILE LN, , , , , , , 
34421,Y,137587287,416,MOBILE LN, , , , , , , 
34422,Y,137967293,413,MOBILE LN, , , , , , , 
34423,Y,137917295,229,AZALEA DR, , , , , , , 
34424,Y,137907296,302,CAMELLIA DR, , , , , , , 
34425,Y,137957297,337,CAMELLIA DR, , , , , , , 
34426,Y,138007298,309,MONTE VISTA AVE, , , , , , , 
34427,Y,137807299,424,MOBILE LN, , , , , , , 
34428,Y,137977302,314,MONTE VISTA AVE, , , , , , , 
34429,Y,137937303,303,CAMELLIA DR, , , , , , , 
34430,Y,137927304,340,CAMELLIA DR, , , , , , , 
34431,Y,138027306,415,MOBILE LN, , , , , , , 
34432,Y,138037307,302,AZALEA DR, , , , , , , 
34433,Y,138017308,1175+,5TH ST SW, , , , , , , 
34434,Y,138067310,417,MOBILE LN, , , , , , , 
34435,Y,138147314,338,CAMELLIA DR, , , , , , , 
34436,Y,138127315,311,MONTE VISTA AVE, , , , , , , 
34437,Y,138057316,304,CAMELLIA DR, , , , , , , 
34438,Y,138107318,419,MOBILE LN, , , , , , , 
34439,Y,138137319,335,CAMELLIA DR, , , , , , , 
34440,Y,138077321,316,MONTE VISTA AVE, , , , , , , 
34441,Y,138177322,426,MOBILE LN, , , , , , , 
34442,Y,138157323,421,MOBILE LN, , , , , , , 
34443,Y,138167325,423,MOBILE LN, , , , , , , 
34444,Y,138197328,304,AZALEA DR, , , , , , , 
34445,Y,138247329,305,CAMELLIA DR, , , , , , , 
34446,Y,138267330,318,MONTE VISTA AVE, , , , , , , 
34447,Y,138187333,425,MOBILE LN, , , , , , , 
34448,Y,136697334,306,CAMELLIA DR, , , , , , , 
34449,Y,138277335,427,MOBILE LN, , , , , , , 
34450,Y,138297337,317,MONTE VISTA AVE, , , , , , , 
34451,Y,138317338,336,CAMELLIA DR, , , , , , , 
34452,Y,138227339,1177,5TH ST SW, , , , , , , 
34453,Y,138307340,333,CAMELLIA DR, , , , , , , 
34454,Y,138327343,1158,5TH ST SW, , , , , , , 
34455,Y,138207344,1185,5TH ST SW, , , , , , , 
34456,Y,138337345,306,AZALEA DR, , , , , , , 
34457,Y,138347347,320,MONTE VISTA AVE, , , , , , , 
34458,Y,138287351,308,CAMELLIA DR, , , , , , , 
34459,Y,138387352,307,CAMELLIA DR, , , , , , , 
34460,Y,138397353,331,CAMELLIA DR, , , , , , , 
34461,Y,138407355,334,CAMELLIA DR, , , , , , , 
34462,Y,138367358,301+,AZALEA DR, , , , , , , 
34463,Y,138377359,319,MONTE VISTA AVE, , , , , , , 
34464,Y,138417360,308,AZALEA DR, , , , , , , 
34465,Y,138427361,322,MONTE VISTA AVE, , , , , , , 
34466,Y,138257363,1181,5TH ST SW, , , , , , , 
34467,Y,138447364,1162,5TH ST SW, , , , , , , 
34468,Y,138467366,329,CAMELLIA DR, , , , , , , 
