OBJECTID,BIN,ST_NUMBER,ST_UNIT,UNIT_TYPE,PREDIR,ST_NAME,SUFFIX,POSTDIR,ZIP,STSEGID,USE_TYPE,MasterAddressID
7453,116924852,1413,A,UNIT, ,VINE,ST, ,22902, ,R,85402
7454,7667634,410,700,#,E,WATER,ST, ,22902, ,C,85403
7455,7295383,204,3,#, ,MONTEBELLO,CIR, ,22903, ,R,85404
7456,120615274,1413,B,APT, ,HAMPTON,ST, ,22902, ,R,85405
7457,7977909,304,A,UNIT, ,RIDGE,ST, ,22902, ,C,85406
7458,468715440,409,C,UNIT, ,13TH,ST,NW,22903, ,R,85407
7459,468715354,402,1C,UNIT, ,14TH,ST,NW,22903, ,R,85408
7460,468715354,402,2C,UNIT, ,14TH,ST,NW,22903, ,R,85409
7461,367214298,1117,2,#, ,FOREST,ST, ,22903, ,R,85410
7462,377914404,1115,C,UNIT, ,FOREST,ST, ,22903, ,R,85411
7463,543416182,210,5,APT, ,15TH,ST,NW,22903, ,R,85412
7464,543416182,210,6,APT, ,15TH,ST,NW,22903, ,R,85413
7465,1436915997,230,302,APT, ,15TH,ST,NW,22903, ,R,85414
7466,132611329,2114,A,UNIT, ,BARRACKS,RD, ,22903, ,C,85415
7467,116111304,1,104TL,UNIT, ,MORTON,DR, ,22903, ,C,85416
7468,600616744,419,,, ,2ND,ST,NE,22902, ,R,85417
7469,134326865,107,,, ,LEIGH,PL, ,22902, ,R,85418
7470,135266996,106,,, ,SHALE,PL, ,22902, ,R,85419
7471,70578606,324,,, ,11TH,ST,NE,22902, ,R,85420
7472,71108623,321,,, ,11TH,ST,NE,22902, ,R,85421
7473,539827,2238,,, ,BRANDYWINE,DR, ,22901, ,R,86307
7474,5417147,109,,, ,DENICE,LN, ,22901, ,R,86308
7475,729835,102,,, ,DENICE,LN, ,22901, ,R,86309
7476,171612030,1238,,, ,HOLMES,AVE, ,22901, ,R,86310
7477,177412079,1235,,, ,HOLMES,AVE, ,22901, ,R,86311
7478,177512087,1201,,, ,LILI,LN, ,22901, ,R,86312
7479,185912227,604,,, ,ELIZABETH,AVE, ,22901, ,R,86313
7480,97111009,108,,, ,BRANDYWINE,CT, ,22901, ,R,86314
7481,769842,106,,, ,DENICE,LN, ,22901, ,R,86315
7482,44167827,1206,,, ,BELLEVIEW,AVE, ,22901, ,R,86364
7483,44377852,1219,,, ,BELLEVIEW,AVE, ,22901, ,R,86365
7484,45637886,1135,,, ,RIVER,RD, ,22901, ,C,86366
7485,639317045,210,,, ,RIDGE MCINTIRE,RD, ,22903, ,C,86367
7486,1364818386,1115,407,APT, ,WERTLAND,ST, ,22903, ,R,86368
7487,1364818386,1115,408,APT, ,WERTLAND,ST, ,22903, ,R,86369
7488,631217325,211,2,#, ,CREAM,ST, ,22903, ,R,86370
7489,359514284,1225,9,#, ,HARRIS,ST, ,22903, ,C,86371
7490,132046607,120,,, ,HARRIS,RD, ,22903, ,R,86372
7491,128876159,1103,E,UNIT, ,DRUID,AVE, ,22902, ,R,86373
7492,122055423,1008,A,APT, ,ELLIOTT,AVE, ,22902, ,R,86374
7493,118645024,1401,A,UNIT, ,MONTICELLO,RD, ,22902, ,R,86375
7494,108914091,1500,61,LOT, ,CARLTON,AVE, ,22902, ,R,86376
7495,68928540,517,B,UNIT, ,CAROLINE,AVE, ,22902, ,R,86377
7496,117314871,1000,A,UNIT, ,MONTROSE,AVE, ,22902, ,R,86378
7497,556316255,500,17,APT, ,MCINTIRE,RD, ,22902, ,R,86379
7498,132736643,1013,F,UNIT, ,LINDEN,AVE, ,22902, ,R,86380
7499,710321206,321,200,STE,E,MAIN,ST, ,22902, ,C,86381
7500,692022449,108,36,#, ,2ND,ST,SW,22902, ,R,86382
7501,692022449,108,30,#, ,2ND,ST,SW,22902, ,R,86383
7502,131436488,2710,,, ,MCELROY,DR, ,22903, ,R,86384
7503,1448017343,922,,, ,RAINIER,RD, ,22903, ,R,86385
7504,134406898,108,,, ,TROOST,CT, ,22903, ,R,86386
7505,97372320,1412,,, ,BRIARCLIFF,AVE, ,22903, ,R,86387
7506,137807299,424,,, ,MOBILE,LN, ,22903, ,R,86389
7507,137967293,413,,, ,MOBILE,LN, ,22903, ,R,86390
7508,86761471,2111,14,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,86391
7509,6768183,1620,204,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,86392
7510,6768183,1620,205,APT, ,JEFFERSON PARK,AVE, ,22903, ,R,86393
7511,468315400,902,,, ,2ND,ST,NE,22902, ,R,86394
7512,468515417,622,,, ,MCINTIRE,RD, ,22902, ,R,86395
7513,138717395,320,,, ,CAMELLIA,DR, ,22903, ,R,86396
7514,138607387,325,,, ,CAMELLIA,DR, ,22903, ,R,86397
7515,138567379,330,,, ,CAMELLIA,DR, ,22903, ,R,86398
7516,138627386,328,,, ,CAMELLIA,DR, ,22903, ,R,86399
7517,104513141,2328,,, ,HIGHLAND,AVE, ,22903, ,R,86206
7518,129226229,534,,, ,CLEVELAND,AVE, ,22903, ,R,86207
7519,652683,239,,,E,JEFFERSON,ST, ,22902, ,R,86208
7520,101619741,1707,,,E,MARKET,ST, ,22902, ,R,86209
7521,135427022,1651,,, ,MERIDIAN,ST, ,22902, ,R,86210
7522,135547015,1658,,, ,MERIDIAN,ST, ,22902, ,R,86211
7523,88201822,957,,, ,2ND,ST,SE,22902, ,C,86212
7524,158511833,1708,,, ,BRUCE,AVE, ,22903, ,R,86213
7525,577716515,819,,, ,PAGE,ST, ,22903, ,R,86214
7526,72108660,1210,,, ,MERIWETHER,ST, ,22902, ,R,86215
7527,231012840,909,,, ,ROSSER,LN, ,22903, ,R,86216
7528,7582615,204,,, ,RIDGE,ST, ,22902, ,R,86217
7529,121825432,405,,, ,MOSELEY,DR, ,22903, ,R,86218
7530,7794775,409,,, ,DICE,ST, ,22903, ,R,85930
7531,7801779,302,,, ,5TH,ST,SW,22903, ,R,85931
7532,7880820,410,,, ,DICE,ST, ,22903, ,R,85932
7533,49317957,1014,,, ,LONG,ST, ,22902, ,R,85933
7534,522815942,809,,, ,LOCUST,AVE, ,22902, ,R,85934
7535,523316067,805,,, ,LOCUST,AVE, ,22902, ,R,85935
7536,549516299,731,,, ,LOCUST,AVE, ,22902, ,R,85936
7537,594216659,816,,, ,PAGE,ST, ,22903, ,R,85937
7538,57308118,1317,,, ,RIVERDALE,DR, ,22902, ,R,85938
7539,573417298,1012,,, ,HAZEL,ST, ,22902, ,R,85939
7540,103192902,1208,,, ,CARLTON,AVE, ,22902, ,R,85940
7541,103252879,1000,,, ,BELMONT,AVE, ,22902, ,I,85941
7542,104073074,917,,, ,MONTICELLO,AVE, ,22902, ,R,85942
