GPIN,PIN,UseCode,YearBuilt,Area_SqFT,Source,Risk,IsMultiParcelPolygon,Zoning
1326,010001000,Comm. Shopping Ctr.,1957,497658,Commercial,2,NA,URB
15071,010001100,Comm. Shopping Ctr.,1995,20837,Commercial,2,NA,URB
1280,010001200,Convenience Market,1996,1240,Commercial,1,NA,URB
1357,010001300,Neighborhood Shopping Ctr.,1982,1330,Commercial,2,NA,URB
1357,010001300,Neighborhood Shopping Ctr.,1982,3434,Commercial,2,NA,URB
1366,010001400,Motel,1996,70761,Commercial,2,NA,URB
1366,010001400,Motel,1996,4590,Commercial,2,NA,URB
1302,010001500,Retail Store,1983,5103,Commercial,1,NA,URB
1056,010001600,Multipurpose Bldg (College),1972,166128,Commercial,2,NA,URB
1056,010001600,Multipurpose Bldg (College),1972,88621,Commercial,2,NA,URB
1418,010001700,Transit Warehouse,1963,53618,Commercial,1,NA,URB
NA,010001900,Office Building,1985,12150,Commercial,2,NA,NA
NA,010001900,Office Building,1985,3248,Commercial,2,NA,NA
NA,010001900,Office Building,1985,1020,Commercial,2,NA,NA
1440,010004000,Neighborhood Shopping Ctr.,1952,2634,Commercial,2,NA,URB
1440,010004000,Neighborhood Shopping Ctr.,1952,1264,Commercial,2,NA,URB
1440,010004000,Neighborhood Shopping Ctr.,1952,8502,Commercial,2,NA,URB
1440,010004000,Neighborhood Shopping Ctr.,1952,11545,Commercial,2,NA,URB
1414,010004100,Retail,2019,12630,Commercial,1,NA,URB
1482,010004300,Service Repair Garage,1971,4414,Commercial,1,NA,URB
1465,010004400,Condominium Commercial,1963,1308,Commercial,2,1,URB
1465,010004500,Condominium Commercial,1963,1550,Commercial,2,1,URB
1494,010018000,Office Building,1950,43165,Commercial,2,NA,ES
1709,010048000,Office Building,1967,16620,Commercial,2,NA,ES
1741,010048200,Office Building,1967,16620,Commercial,2,NA,ES
1906,020011000,Apartments 1-10 units,1951,NA,Commercial,2,NA,R-1U
2264,020055000,Apartments 1-10 units,1920,7974,Commercial,2,NA,R-1UH
3178,030092000,Church,1973,4060,Commercial,1,NA,R-2
3178,030092000,Church,1973,4955,Commercial,1,NA,R-2
3490,030095000,Clubhouse,1968,2844,Commercial,2,NA,MLTP
3490,030095000,Clubhouse,1968,1020,Commercial,2,NA,MLTP
3490,030095000,Clubhouse,1968,480,Commercial,2,NA,MLTP
3839,030107000,Church,1947,1686,Commercial,1,NA,R-1SUH
3581,030118000,Church,1965,3143,Commercial,1,NA,UHD
3373,030123000,Apartments 1-10 units,1971,3896,Commercial,2,NA,UHD
3329,030125000,Apartments over 20 units,1965,84380,Commercial,2,NA,UHD
3578,030125200,Apartments over 20 units,1970,137387,Commercial,2,NA,UHD
3488,0301252A0,Clubhouse,2003,5752,Commercial,2,NA,UHD
3488,0301252A0,Clubhouse,2003,6200,Commercial,2,NA,UHD
3164,030126000,Apartments over 20 units,1970,36055,Commercial,2,NA,UHD
2903,030126100,Apartments over 20 units,1971,35850,Commercial,2,NA,UHD
2863,030128000,Apartments 1-10 units,1998,6318,Commercial,2,NA,UHD
2863,030128000,Apartments 1-10 units,1998,137,Commercial,2,NA,UHD
2863,030128000,Apartments 1-10 units,1998,1460,Commercial,2,NA,UHD
3862,040015000,Market,1948,1470,Commercial,2,NA,R-1SU
4034,040041000,Office Building,1926,2044,Commercial,2,NA,B-3H
4130,040042000,Office Building,1940,12550,Commercial,2,NA,B-3
4434,040046000,Church,1939,2126,Commercial,1,NA,R-1S
4132,040098000,Church,1920,761,Commercial,1,NA,R-1SU
4241,040118000,Elementary Sch (Entire),1925,59816,Commercial,2,NA,R-2UH
4687,040120000,Apartments over 20 units,2004,4569,Commercial,2,NA,UMDH
4592,040142000,Apartments 1-10 units,1955,3430,Commercial,2,NA,R-2U
4518,040144000,Apartments 1-10 units,1950,3410,Commercial,2,NA,R-2U
4541,040145000,Apartments 1-10 units,1950,3322,Commercial,2,NA,R-2U
4894,040152000,Clubhouse,1969,3442,Commercial,2,NA,R-1SU
4980,040210000,Apartments 1-10 units,1947,2910,Commercial,2,NA,R-1S
4980,040210000,Apartments 1-10 units,1947,396,Commercial,2,NA,R-1S
5182,040245000,Apartments over 20 units,1969,27430,Commercial,2,NA,UHD
13947,040245100,Apartments over 20 units,1987,6783,Commercial,2,NA,UHD
13947,040245100,Apartments over 20 units,1987,155,Commercial,2,NA,UHD
5179,040278000,Apartments 1-10 units,1997,13132,Commercial,2,NA,UHD
5179,040278000,Apartments 1-10 units,1997,3456,Commercial,2,NA,UHD
13944,040283000,Apartments over 20 units,1988,16665,Commercial,2,NA,UHDH
13944,040283000,Apartments over 20 units,1988,15664,Commercial,2,NA,UHDH
13944,040283000,Apartments over 20 units,1988,12201,Commercial,2,NA,UHDH
13944,040283000,Apartments over 20 units,1988,1306,Commercial,2,NA,UHDH
4994,040287000,Apartments 1-10 units,1920,2490,Commercial,2,NA,UHDH
13945,040291000,Apartments over 20 units,1986,31260,Commercial,2,NA,UHDH
5490,040292000,Apartments over 20 units,1950,2980,Commercial,2,NA,UHDH
5629,040297000,Apartments 1-10 units,1890,NA,Commercial,2,NA,B-1H
5701,040299000,Apartments 1-10 units,1900,NA,Commercial,2,NA,B-1H
5761,040301000,Mixed Retail w/Res Units,1999,4158,Commercial,2,NA,B-1
14120,040302000,Apartments over 20 units,2006,NA,Commercial,2,NA,UHDH
5721,040303000,Apartments 1-10 units,1830,2624,Commercial,2,NA,UHDH
13948,040305000,Apartments over 20 units,1986,5136,Commercial,2,NA,UMDH
5605,040314000,Apartments 11-20 Units,1999,19544,Commercial,2,NA,UMDH
5605,040314000,Apartments 11-20 Units,1999,10890,Commercial,2,NA,UMDH
5605,040314000,Apartments 11-20 Units,1999,8712,Commercial,2,NA,UMDH
5655,040315000,Apartments 1-10 units,1890,1399,Commercial,2,NA,UMDH
5695,040316000,Apartments 1-10 units,1900,2634,Commercial,2,NA,UMDH
5815,040317000,Apartments 1-10 units,1922,NA,Commercial,2,NA,UMDH
2865,050028000,Church,1950,8892,Commercial,1,NA,R-1U
2993,050036000,Apartments over 20 units,1961,49431,Commercial,2,NA,R-3
3127,050039000,Office Building,1880,3493,Commercial,2,NA,R-1UH
3127,050039000,Office Building,1880,319,Commercial,2,NA,R-1UH
3197,050040000,Apartments 1-10 units,1925,3771,Commercial,2,NA,R-3H
3197,050040000,Apartments 1-10 units,1925,2304,Commercial,2,NA,R-3H
3235,050041000,Rooming House,1910,3396,Commercial,3,NA,R-3H
3235,050041000,Rooming House,1910,147,Commercial,3,NA,R-3H
3377,050043000,Apartments 1-10 units,1925,10591,Commercial,2,NA,R-3H
3336,050044000,Apartments 11-20 Units,0,20736,Commercial,2,NA,R-3H
3413,050045000,Apartments 1-10 units,1926,3474,Commercial,2,NA,R-3H
3473,050048000,Apartments 1-10 units,1913,11550,Commercial,2,NA,R-3H
3524,050049000,Apartments 11-20 Units,1928,17560,Commercial,2,NA,R-3H
3575,050051000,Apartments 1-10 units,1971,5930,Commercial,2,NA,R-3H
3553,050056000,Apartments 1-10 units,1925,5088,Commercial,2,NA,R-3H
3690,050062000,Apartments 1-10 units,1920,5130,Commercial,2,NA,R-3H
3690,050062000,Apartments 1-10 units,1920,270,Commercial,2,NA,R-3H
3761,050063100,Apartments 1-10 units,1963,4936,Commercial,2,NA,UMDH
3746,050069000,Apartments 1-10 units,1962,2832,Commercial,2,NA,UMDH
3746,050069000,Apartments 1-10 units,1962,4335,Commercial,2,NA,UMDH
3718,050069100,Apartments 1-10 units,1962,4840,Commercial,2,NA,UMDH
3788,050070000,Apartments 1-10 units,0,816,Commercial,2,NA,UMDH
3788,050070000,Apartments 1-10 units,0,1604,Commercial,2,NA,UMDH
3788,050070000,Apartments 1-10 units,0,4840,Commercial,2,NA,UMDH
3711,050075000,Apartments 11-20 Units,1925,5084,Commercial,2,NA,UMDH
3762,050075100,Apartments over 20 units,1965,19868,Commercial,2,NA,UMDH
3905,050085000,Apartments 11-20 Units,1968,8406,Commercial,2,NA,UMDH
3822,050089000,Apartments over 20 units,1952,13605,Commercial,2,NA,UMDH
3675,050090000,Apartments 1-10 units,1926,3930,Commercial,2,NA,UMDH
3675,050090000,Apartments 1-10 units,1926,486,Commercial,2,NA,UMDH
3675,050090000,Apartments 1-10 units,1926,414,Commercial,2,NA,UMDH
3691,050091000,Apartments 1-10 units,1930,NA,Commercial,2,NA,UMDH
3435,050096000,Apartments over 20 units,1972,41691,Commercial,2,NA,MLTP
3253,050096100,Apartments over 20 units,1967,56576,Commercial,2,NA,UHD
3454,050105000,Apartments 1-10 units,1930,4052,Commercial,2,NA,R-3H
3454,050105000,Apartments 1-10 units,1930,27,Commercial,2,NA,R-3H
3491,050110000,Apartments over 20 units,1923,42560,Commercial,2,NA,R-3H
3436,050111000,Apartments 1-10 units,1800,4404,Commercial,2,NA,R-3H
3436,050111000,Apartments 1-10 units,1800,792,Commercial,2,NA,R-3H
3391,050113000,Apartments 1-10 units,1936,3510,Commercial,2,NA,R-3H
3391,050113000,Apartments 1-10 units,1936,120,Commercial,2,NA,R-3H
3313,050128000,Apartments 1-10 units,1925,7912,Commercial,2,NA,R-3
3369,050155000,Apartments 1-10 units,2012,12491,Commercial,2,NA,R-3
1857,060001000,Bank,1999,8192,Commercial,1,NA,URB
1857,060001000,Bank,1999,2535,Commercial,1,NA,URB
1857,060001000,Bank,1999,550,Commercial,1,NA,URB
1816,060001100,Office Building,1966,16983,Commercial,2,NA,URB
1467,060001101,Apartments over 20 units,1976,40000,Commercial,2,NA,URB
1578,060001110,Apartments over 20 units,0,NA,Commercial,2,NA,URB
1798,060001200,Office Building,1964,15096,Commercial,2,NA,URB
1798,060001200,Office Building,1964,952,Commercial,2,NA,URB
1781,060001300,Office Building,1964,11016,Commercial,2,NA,URB
1759,060001400,Apartments 1-10 units,1963,13324,Commercial,2,NA,URB
1733,060001500,Apartments 11-20 Units,1983,14952,Commercial,2,NA,URB
1659,060001600,Apartments over 20 units,1961,30360,Commercial,2,NA,R-3
1638,060001700,Apartments over 20 units,1971,14832,Commercial,2,NA,R-3
1638,060001700,Apartments over 20 units,1971,4368,Commercial,2,NA,R-3
1506,060001900,Apartments over 20 units,1969,76212,Commercial,2,NA,R-3
1827,060001B00,Office Building,1966,16000,Commercial,2,NA,URB
1958,060001C00,Fast Food Restaurant,1995,2587,Commercial,1,NA,URB
1912,060001D00,Retail Store,2000,10104,Commercial,1,NA,URB
2258,060073000,Apartments over 20 units,1948,62192,Commercial,2,NA,ES
2718,060074000,Restaurant,1962,3088,Commercial,1,NA,URB
2945,060078000,Apartments 1-10 units,1921,3455,Commercial,2,NA,R-1UH
3161,060081000,Apartments 1-10 units,1910,2550,Commercial,2,NA,R-1UH
3161,060081000,Apartments 1-10 units,1910,1391,Commercial,2,NA,R-1UH
3322,060084000,Apartments 1-10 units,1930,2294,Commercial,2,NA,R-1UH
3410,060086000,Apartments 1-10 units,1925,4775,Commercial,2,NA,R-1UH
3410,060086000,Apartments 1-10 units,1925,608,Commercial,2,NA,R-1UH
3410,060086000,Apartments 1-10 units,1925,537,Commercial,2,NA,R-1UH
3471,060087000,Apartments 1-10 units,1957,3263,Commercial,2,NA,R-1UH
15080,060087A00,Apartments 1-10 units,1957,3263,Commercial,2,NA,R-1UH
3390,060088000,Apartments 1-10 units,1920,2360,Commercial,2,NA,R-1UH
3390,060088000,Apartments 1-10 units,1920,749,Commercial,2,NA,R-1UH
2991,060094000,Apartments over 20 units,1947,15021,Commercial,2,NA,R-1UH
3029,060097000,Church,1915,5608,Commercial,1,NA,R-1UH
3247,060098000,Apartments 11-20 Units,1905,4728,Commercial,2,NA,R-1UH
3247,060098000,Apartments 11-20 Units,1905,350,Commercial,2,NA,R-1UH
2813,070001000,Supermarket,1957,14850,Commercial,2,NA,URB
2883,070001100,Restaurant,1963,2654,Commercial,1,NA,URB
2779,070001101,Elementary Sch (Entire),1939,38629,Commercial,2,NA,R-1U
2779,070001101,Elementary Sch (Entire),1939,32688,Commercial,2,NA,R-1U
2779,070001101,Elementary Sch (Entire),1939,10705,Commercial,2,NA,R-1U
2779,070001101,Elementary Sch (Entire),1939,35382,Commercial,2,NA,R-1U
2924,070001200,Bank,1974,1960,Commercial,1,NA,URB
2722,070001300,Neighborhood Shopping Ctr.,1971,4388,Commercial,2,NA,URB
2722,070001300,Neighborhood Shopping Ctr.,1971,640,Commercial,2,NA,URB
2716,070001400,Restaurant,1960,2000,Commercial,1,NA,URB
2713,070001500,Retail Store,1960,900,Commercial,1,NA,URB
2700,070001600,Retail Store,1960,1800,Commercial,1,NA,URB
2695,070001700,Restaurant,1960,900,Commercial,1,NA,URB
2690,070001800,Retail Store,1960,915,Commercial,1,NA,URB
2606,070001900,Neighborhood Shopping Ctr.,1954,4826,Commercial,2,NA,URB
14692,0700019A0,Neighborhood Shopping Ctr.,0,1742,Commercial,2,NA,URB
14691,0700019B0,Fast Food Restaurant,0,2084,Commercial,1,NA,URB
3140,070002000,Bank,1977,2196,Commercial,1,NA,URB
3218,070002100,Fast Food Restaurant,1973,3248,Commercial,1,NA,URB
3288,070002200,Office Building,1988,3456,Commercial,2,1,URB
3288,070002200,Office Building,1988,868,Commercial,2,1,URB
3183,070002300,Office Building,1969,27160,Commercial,2,NA,URB
3183,070002300,Office Building,1969,3233,Commercial,2,NA,URB
2972,070002401,Apartments over 20 units,1985,14994,Commercial,2,1,URB
3034,070003000,Medical Office,1962,4050,Commercial,1,NA,B-1
3328,070003101,Church,1957,10538,Commercial,1,NA,R-1U
3151,070003190,Day Care Center,1960,3176,Commercial,3,NA,B-1
3199,070003201,Bank,1960,2256,Commercial,1,NA,B-1
3199,070003201,Bank,1960,252,Commercial,1,NA,B-1
3087,070003210,Apartments 11-20 Units,1963,8970,Commercial,2,NA,B-1
1897,080001000,Gymnasium (College),1964,101147,Commercial,2,NA,MLTP
1897,080001000,Gymnasium (College),1964,19840,Commercial,2,NA,MLTP
3544,080010000,Restaurant,1971,2259,Commercial,1,NA,URB
3460,080011000,Office Building,1954,1728,Commercial,2,NA,URB
3284,080012000,Parking Structure,0,NA,Commercial,1,NA,URB
3638,080021000,Apartments 1-10 units,1959,1406,Commercial,2,NA,R-1U
3766,080024000,Office Building,1956,2006,Commercial,2,NA,R-1U
3885,080026000,Office Building,1939,1744,Commercial,2,NA,R-1U
3885,080026000,Office Building,1939,256,Commercial,2,NA,R-1U
3835,080027000,Dormitory,1950,NA,Commercial,2,NA,R-1U
3858,080032000,Apartments 1-10 units,1958,1668,Commercial,2,NA,R-1U
3809,080033000,Apartments 1-10 units,1959,1668,Commercial,2,NA,R-1U
3754,080034000,Apartments 1-10 units,1959,1658,Commercial,2,NA,R-1U
4323,080042000,Office Building,1939,1596,Commercial,2,NA,R-1U
4523,080045000,Office Building,1920,24156,Commercial,2,NA,R-1U
4523,080045000,Office Building,1920,3448,Commercial,2,NA,R-1U
3773,090002000,Apartments 11-20 Units,2009,6250,Commercial,2,NA,R-3H
3773,090002000,Apartments 11-20 Units,2009,5722,Commercial,2,NA,R-3H
3730,090003000,Church,1920,4288,Commercial,1,NA,R-3H
3730,090003000,Church,1920,198,Commercial,1,NA,R-3H
3810,090004000,Church,0,13733,Commercial,1,NA,R-3H
3810,090004000,Church,0,8122,Commercial,1,NA,R-3H
3951,090005000,Church,1912,3264,Commercial,1,NA,R-3H
4064,090008000,Apartments 11-20 Units,1993,15268,Commercial,2,NA,UMDH
3991,090011000,Apartments 1-10 units,1960,6862,Commercial,2,NA,UMDH
3865,090012000,Church,1958,4211,Commercial,1,NA,UMDH
3913,090013000,Office Building,1890,3416,Commercial,2,NA,UMDH
3990,090015000,"Library, Public",1965,13054,Commercial,2,NA,UMDH
4087,090016000,Group Care Home,1920,18724,Commercial,3,NA,UMDH
4087,090016000,Group Care Home,1920,2687,Commercial,3,NA,UMDH
4087,090016000,Group Care Home,1920,12222,Commercial,3,NA,UMDH
4087,090016000,Group Care Home,1920,20125,Commercial,3,NA,UMDH
4308,090018000,Apartments 1-10 units,1987,4614,Commercial,2,NA,UMDH
4354,090020000,Apartments 1-10 units,1986,8217,Commercial,2,NA,UMDH
4927,090052000,Apartments 1-10 units,1920,NA,Commercial,2,NA,UHDH
4970,090056000,Apartments 1-10 units,1940,1318,Commercial,2,NA,UHDH
4970,090056000,Apartments 1-10 units,1940,1734,Commercial,2,NA,UHDH
5046,090058100,Apartments 1-10 units,1978,NA,Commercial,2,NA,UHDH
5088,090060000,Apartments 1-10 units,1973,6072,Commercial,2,NA,UHDH
5187,090061000,Apartments 1-10 units,1925,3954,Commercial,2,NA,UHDH
5187,090061000,Apartments 1-10 units,1925,43,Commercial,2,NA,UHDH
14369,090063000,Apartments over 20 units,1968,7878,Commercial,2,NA,UHDH
14369,090063000,Apartments over 20 units,1968,1980,Commercial,2,NA,UHDH
14369,090063000,Apartments over 20 units,1968,1420,Commercial,2,NA,UHDH
14369,090063000,Apartments over 20 units,1968,7414,Commercial,2,NA,UHDH
5455,090066000,Apartments over 20 units,1960,40440,Commercial,2,NA,UHDH
5434,090069000,Apartments 11-20 Units,1994,16392,Commercial,2,NA,MLTPH
5611,090071000,Apartments 1-10 units,1992,9657,Commercial,2,NA,B-1H
5707,090073000,Apartments 1-10 units,1875,NA,Commercial,2,NA,B-2H
5766,090074000,Comm. Shopping Ctr.,1979,5778,Commercial,2,NA,CDH
5766,090074000,Comm. Shopping Ctr.,1979,3082,Commercial,2,NA,CDH
5776,090075000,Multiple Commercial Use,1920,8190,Commercial,2,NA,CDH
5776,090075000,Multiple Commercial Use,1920,4551,Commercial,2,NA,CDH
5602,090076000,Retail Store,1895,3964,Commercial,1,NA,CDH
5602,090076000,Retail Store,1895,6687,Commercial,1,NA,CDH
5602,090076000,Retail Store,1895,829,Commercial,1,NA,CDH
5602,090076000,Retail Store,1895,7782,Commercial,1,NA,CDH
5765,090077000,Restaurant,1920,3598,Commercial,1,NA,CDH
5690,090078000,Retail Store,1900,7420,Commercial,1,NA,CDH
5690,090078000,Retail Store,1900,690,Commercial,1,NA,CDH
13943,090078100,Retail Store,1900,1405,Commercial,1,NA,CDH
13943,090078100,Retail Store,1900,2319,Commercial,1,NA,CDH
13943,090078100,Retail Store,1900,1438,Commercial,1,NA,CDH
5528,090080000,Retail Store,1927,10256,Commercial,1,NA,CDH
5566,090081000,Restaurant,1920,9970,Commercial,1,NA,CDH
5546,090082000,Retail Store,1900,7452,Commercial,1,NA,CDH
5546,090082000,Retail Store,1900,1344,Commercial,1,NA,CDH
5458,090083000,Retail Store,1985,8216,Commercial,1,NA,CDH
5395,090085000,Retail Store,1900,4935,Commercial,1,NA,CDH
5395,090085000,Retail Store,1900,1507,Commercial,1,NA,CDH
5357,090086000,Retail Store,1900,2184,Commercial,1,NA,CDH
5357,090086000,Retail Store,1900,288,Commercial,1,NA,CDH
5330,090087000,Retail Store,1900,1728,Commercial,1,NA,CDH
13941,090088000,Restaurant,1900,2600,Commercial,1,NA,CDH
13942,090089000,Office Building,1910,1140,Commercial,2,NA,CDH
13942,090089000,Office Building,1910,336,Commercial,2,NA,CDH
5138,090090000,Retail Store,1920,1928,Commercial,1,NA,CDH
5258,090093000,Apartments over 20 units,1925,63305,Commercial,2,NA,UHDH
4974,090094000,Apartments over 20 units,2007,48066,Commercial,2,NA,UHDH
5011,090095000,Retail Store,1920,1286,Commercial,1,NA,CDH
5011,090095000,Retail Store,1920,414,Commercial,1,NA,CDH
5121,090096000,Restaurant,1920,1120,Commercial,1,NA,CDH
5121,090096000,Restaurant,1920,1185,Commercial,1,NA,CDH
5202,090097000,Restaurant,1947,3196,Commercial,1,NA,CDH
5202,090097000,Restaurant,1947,401,Commercial,1,NA,CDH
5278,090099000,Retail Store,1973,7457,Commercial,1,NA,CDH
5278,090099000,Retail Store,1973,24800,Commercial,1,NA,CDH
5485,090100000,Retail Store,1932,5160,Commercial,1,NA,CDH
5229,090102000,Bank,1959,3740,Commercial,1,NA,CDH
5096,090104000,Church,1920,NA,Commercial,1,NA,CDH
5030,090105000,Church,1926,2246,Commercial,1,NA,CDH
5030,090105000,Church,1926,4848,Commercial,1,NA,CDH
4968,090106000,Apartments 1-10 units,1920,3685,Commercial,2,NA,CDH
4543,090119000,Apartments over 20 units,1952,NA,Commercial,2,NA,UMDH
4454,090122000,Apartments 1-10 units,1920,NA,Commercial,2,NA,UMDH
4429,090123000,Apartments 11-20 Units,1987,5008,Commercial,2,NA,UMDH
4569,090128000,Apartments 1-10 units,1961,NA,Commercial,2,NA,R-3H
5061,090141000,Office Building,NA,21681,Commercial,2,NA,R-3H
5042,090143000,Office Building,1903,4600,Commercial,2,NA,R-3H
5042,090143000,Office Building,1903,2280,Commercial,2,NA,R-3H
4485,090144000,Office Building,1905,11700,Commercial,2,NA,R-3
4485,090144000,Office Building,1905,2031,Commercial,2,NA,R-3
4406,090146000,Apartments 1-10 units,1920,NA,Commercial,2,NA,R-3H
4230,090151000,Apartments 1-10 units,1950,1644,Commercial,2,NA,R-3H
4246,090153000,Office Building,1895,8025,Commercial,2,NA,R-3H
4313,090154000,Office Building,1935,2856,Commercial,2,NA,R-3
4313,090154000,Office Building,1935,1156,Commercial,2,NA,R-3
5927,100001000,Parking Structure,1986,95885,Commercial,1,NA,CDH
5927,100001000,Parking Structure,1986,13584,Commercial,1,NA,CDH
5944,100004000,Restaurant,1972,7870,Commercial,1,NA,CDH
5978,100005000,Restaurant,1920,965,Commercial,1,NA,CDH
5986,100006000,Restaurant,1960,1685,Commercial,1,NA,CDH
5996,100007000,Restaurant,1955,5192,Commercial,1,NA,CDH
5996,100007000,Restaurant,1955,320,Commercial,1,NA,CDH
5980,100008000,Mixed Retail w/Res Units,1965,6615,Commercial,2,NA,CDH
5871,100011000,Apartments 11-20 Units,1920,3613,Commercial,2,NA,CDH
5889,100012000,Apartments 11-20 Units,1930,11541,Commercial,2,NA,CDH
5991,100016000,Hotel,1966,88916,Commercial,3,NA,CDH
5991,100016000,Hotel,1966,45861,Commercial,3,NA,CDH
6102,100020000,Church,1928,6338,Commercial,1,NA,CDH
6102,100020000,Church,1928,21732,Commercial,1,NA,CDH
5912,100023000,Apartments 11-20 Units,1997,8976,Commercial,2,NA,B-3H
5912,100023000,Apartments 11-20 Units,1997,6732,Commercial,2,NA,B-3H
5912,100023000,Apartments 11-20 Units,1997,3390,Commercial,2,NA,B-3H
5912,100023000,Apartments 11-20 Units,1997,696,Commercial,2,NA,B-3H
5947,100025000,Apartments 1-10 units,1920,2092,Commercial,2,NA,B-3H
5947,100025000,Apartments 1-10 units,1920,525,Commercial,2,NA,B-3H
5901,100026000,Apartments 1-10 units,1890,6114,Commercial,2,NA,B-3H
5918,100027000,Apartments 11-20 Units,1905,3758,Commercial,2,NA,B-3H
5943,100029000,Apartments 1-10 units,1875,2234,Commercial,2,NA,B-3H
5943,100029000,Apartments 1-10 units,1875,466,Commercial,2,NA,B-3H
5954,100032000,Apartments 1-10 units,1920,4360,Commercial,2,NA,B-3H
5954,100032000,Apartments 1-10 units,1920,36,Commercial,2,NA,B-3H
5965,100033000,Apartments 1-10 units,1920,2448,Commercial,2,NA,B-3H
5965,100033000,Apartments 1-10 units,1920,189,Commercial,2,NA,B-3H
6026,100037000,Apartments 1-10 units,1982,11130,Commercial,2,NA,B-3
6244,100045000,Office Building,1897,1664,Commercial,2,NA,WMWH
6244,100045000,Office Building,1897,153,Commercial,2,NA,WMWH
6272,100047000,Office Building,1920,1452,Commercial,2,NA,WMWH
6306,100050000,Restaurant,1920,7081,Commercial,1,NA,WMWH
6218,100051000,Office Building,1948,8700,Commercial,2,NA,WMWH
5977,100053000,Medical Office,1957,48950,Commercial,1,NA,WMWH
6226,100054000,Office Building,1958,6380,Commercial,2,NA,WMWH
6152,100055000,Office Building,1824,4650,Commercial,2,NA,WMWH
6152,100055000,Office Building,1824,224,Commercial,2,NA,WMWH
6098,100056000,Hotel,1999,67780,Commercial,3,NA,CDH
6098,100056000,Hotel,1999,43526,Commercial,3,NA,CDH
6200,100059000,Multiple Commercial Use,1825,4500,Commercial,2,NA,CDH
6200,100059000,Multiple Commercial Use,1825,240,Commercial,2,NA,CDH
6289,100060000,Commercial,0,167708,Commercial,2,1,WMWH
6321,100063000,Multiple Commercial Use,1926,13229,Commercial,2,1,WMWH
6321,100063000,Multiple Commercial Use,1926,3336,Commercial,2,1,WMWH
6350,100064000,Hotel Limited Service,2017,106651,Commercial,3,NA,WMWH
6495,100068000,Apartments over 20 units,2016,NA,Commercial,2,NA,WMWH
6389,100069000,Office Building,1950,3078,Commercial,2,NA,WMWH
6389,100069000,Office Building,1950,3603,Commercial,2,NA,WMWH
6389,100069000,Office Building,1950,21582,Commercial,2,NA,WMWH
14634,100069L00,Commercial,0,4428,Commercial,2,NA,WMWH
6529,100078000,Hotel,1997,55370,Commercial,3,NA,WMWH
6463,100081100,Parking Structure,0,NA,Commercial,1,1,WMWH
6311,100083000,Convalescent Hospital,1970,59220,Commercial,2,NA,WMWH
6368,100088000,Hospital,1980,110969,Commercial,3,NA,B-3
6534,100091000,Parking Structure,1989,265117,Commercial,1,NA,B-3
6499,100116000,Hospital,2019,311200,Commercial,3,NA,B-3
6559,110001000,Hotel,1925,81,Commercial,3,NA,R-3H
6559,110001000,Hotel,1925,2916,Commercial,3,NA,R-3H
6682,110004000,Apartments 1-10 units,2015,51793,Commercial,2,NA,R-3H
6768,110007000,Apartments over 20 units,2007,17904,Commercial,2,NA,R-3H
6768,110007000,Apartments over 20 units,2007,1500,Commercial,2,NA,R-3H
6693,110024000,Apartments 1-10 units,1930,2550,Commercial,2,NA,R-3H
6565,110026000,Hotel,1910,NA,Commercial,3,NA,R-3H
6574,110028000,Office Building,0,NA,Commercial,2,NA,MLTPH
7303,110054000,Apartments 11-20 Units,1984,5823,Commercial,2,NA,R-3H
7539,110056000,Apartments 11-20 Units,2000,11296,Commercial,2,NA,R-3H
7539,110056000,Apartments 11-20 Units,2000,1534,Commercial,2,NA,R-3H
7539,110056000,Apartments 11-20 Units,2000,1416,Commercial,2,NA,R-3H
7750,110059000,Apartments 1-10 units,1922,3466,Commercial,2,NA,R-2UH
6575,110088000,City Club,1959,6320,Commercial,1,NA,UHD
7142,110093000,Dormitory,1972,72118,Commercial,2,NA,UHD
7455,110097100,Dormitory,2019,NA,Commercial,2,NA,UHD
7455,110097100,Dormitory,2019,208860,Commercial,2,NA,UHD
7347,110098000,Hospital,1985,20453,Commercial,3,NA,MLTP
6827,110104000,Apartments over 20 units,2010,40440,Commercial,2,NA,UHD
6570,110107000,Medical Office,1989,7204,Commercial,1,NA,UHD
6570,110107000,Medical Office,1989,14496,Commercial,1,NA,UHD
6572,110110000,Office Building,2003,23736,Commercial,2,NA,B-1
6567,110111000,Apartments 1-10 units,1939,7242,Commercial,2,NA,B-1
6560,110112000,Apartments 1-10 units,1894,7520,Commercial,2,NA,B-1H
13936,110114000,Office Building,2008,31300,Commercial,2,NA,UHD
13937,110117000,Apartments over 20 units,2001,20282,Commercial,2,1,UHD
6775,110131000,Medical Office,1970,63180,Commercial,1,NA,MLTP
6775,110131000,Medical Office,1970,7350,Commercial,1,NA,MLTP
4828,120001000,Classroom  (Elem/2nd Sch),1964,4564,Commercial,2,NA,R-1U
4828,120001000,Classroom  (Elem/2nd Sch),1964,1055,Commercial,2,NA,R-1U
4828,120001000,Classroom  (Elem/2nd Sch),1964,1554,Commercial,2,NA,R-1U
4955,120023000,Church,1956,5325,Commercial,1,NA,R-1U
4955,120023000,Church,1956,5768,Commercial,1,NA,R-1U
5115,120024000,Office Building,1912,2150,Commercial,2,NA,R-1U
5115,120024000,Office Building,1912,459,Commercial,2,NA,R-1U
4296,130009000,Church,2012,7680,Commercial,1,NA,R-1U
